,pmid,PubDate,EPubDate,Source,AuthorList,LastAuthor,Title,Volume,Issue,Pages,LangList,NlmUniqueID,ISSN,ESSN,PubTypeList,RecordStatus,PubStatus,ArticleIds,DOI,History,References,HasAbstract,PmcRefCount,FullJournalName,ELocationID,SO,AB
45,32125668,2020 Jul,,Sports Med,"['Sinding KS', 'Nielsen TG', 'Hvid LG', 'Lind M', 'Dalgas U']",Dalgas U,Effects of Autograft Types on Muscle Strength and Functional Capacity in Patients Having Anterior Cruciate Ligament Reconstruction: A Randomized Controlled Trial.,50,7,1393-1403,['English'],8412297,0112-1642,1179-2035,"['Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish,"['32125668', '10.1007/s40279-020-01276-x', '10.1007/s40279-020-01276-x']",10.1007/s40279-020-01276-x,"['2020/03/04 06:00', '2021/02/25 06:00', '2020/03/04 06:00']",[],1,0,"Sports medicine (Auckland, N.Z.)",doi: 10.1007/s40279-020-01276-x,2020 Jul;50(7):1393-1403,"BACKGROUND: The effects of different autograft types for anterior cruciate ligament reconstruction (ACL-R) on muscle function are sparsely investigated in randomized controlled trials. Our aim was to investigate the effects of quadriceps tendon autograft (QTB) vs. semitendinosus-gracilis autograft (StG) on thigh muscle strength and functional capacity, and a patient-reported outcome 1 year after ACL-R, and to compare the results to healthy controls. METHODS: ACL-R patients (n = 100) and matched controls (CON, n = 50) were recruited, with patients being randomly assigned to QTB (n = 50) or StG (n = 50) ACL-R. One year after ACL-R, bilateral knee extensor (KE) and flexor (KF) muscle strength (isometric, dynamic, explosive, limb symmetry index [LSI], hamstring:quadriceps ratio [HQ ratio]) were assessed by isokinetic dynamometry, along with functional capacity (single leg hop distance [SHD]) and a patient-reported outcome (International Knee Documentation Committee [IKDC] score). RESULTS: KE muscle strength of the operated leg was lower (9-11%) in QTB vs. StG as was KE LSI, while KF muscle strength was lower (12-17%) in StG vs. QTB as was KF LSI. HQ ratios were lower in StG vs. QTB. Compared with the controls, KE and KF muscle strength were lower in StG (10-22%), while KE muscle strength only was lower in QTB (16-25%). Muscle strength in the StG, QTB, and CON groups was identical in the non-operated leg. While SHD and IKDC did not differ between StG and QTB, SHD in both StG and QTB was lower than CON. The IKDC scores improved significantly 1 year following ACL-R for both graft types. CONCLUSION: One year after ACL-R, muscle strength is affected by autograft type, with StG leading to impairments of KE and KF muscle strength, while QTB results in more pronounced impairments of KE only. Functional capacity and patient-reported outcome were unaffected by autograft type, with the former showing impairment compared to healthy controls. CLINICAL TRIALS REGISTRATION NUMBER: NCT02173483."
46,31828089,2019,2019 Nov 15,Biomed Res Int,"['Kaya D', 'Guney-Deniz H', 'Sayaca C', 'Calik M', 'Doral MN']",Doral MN,"Effects on Lower Extremity Neuromuscular Control Exercises on Knee Proprioception, Muscle Strength, and Functional Level in Patients with ACL Reconstruction.",2019,,1694695,['English'],101600173,2314-6133,2314-6141,"['Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,,"['31828089', 'PMC6881759', 'pmc-id: PMC6881759;', '10.1155/2019/1694695']",10.1155/2019/1694695,"['2019/10/01 00:00', '2019/10/31 00:00', '2019/12/13 06:00', '2019/12/13 06:00', '2020/04/24 06:00', '2019/11/15 00:00']",[],1,27,BioMed research international,doi: 10.1155/2019/1694695,2019;2019:1694695,"OBJECTIVE: The purpose of this study was to determine the effects of lower extremity motor control exercises on knee proprioception, muscle strength, and functional level in patients with anterior cruciate ligament reconstruction (ACL-R). MATERIALS AND METHODS: Thirty-two of the 57 patients with ACL-R using tibialis anterior allografts were divided into two groups. Group I: lower extremity motor control exercises were added to the standard rehabilitation program. Group II: standard rehabilitation program was applied. Effects of lower extremity motor control exercises on quadriceps and hamstring muscles strength, knee joint position sense, and hop test were evaluated. RESULTS: There were no differences in muscle strength and endurance of the quadriceps and hamstring between the operative and nonoperative sides in Group I (p > 0.05) while there were significant differences in strength of the quadriceps and hamstring between the operative and nonoperative sides in Group II (p < 0.05). There were significant differences in the endurance of the quadriceps and hamstring and knee joint position sense at 15 degrees , 45 degrees , and 75 degrees  between the operative sides of the patients in both groups (p < 0.05). CONCLUSIONS: The neuromuscular control exercises program was found to be more effective in reducing the difference in strength while the standard program was found to be more effective in reducing the difference in endurance between the operated knee and the other knee. This study revealed that neuromuscular control exercises should also be used to improve knee proprioception sense following ACL-R."
47,31512448,2019 Sep 15,,Zhongguo Xiu Fu Chong Jian Wai Ke Za Zhi,"['Liu H', 'Lu W', 'Liang D', 'Geng H', 'Zhu W', 'Ouyang K', 'Li H', 'Peng L', 'Feng W', 'Zhong M', 'Chen K', 'Li Y', 'Deng Z', 'Wang D']",Wang D,[Effect of isokinetic training of thigh muscle group on graft remodeling after anterior cruciate ligament reconstruction].,33,9,1088-1094,['Chinese'],9425194,1002-1892,,"['Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish,"['31512448', 'PMC8355844', 'pmc-id: PMC8355844;', '10.7507/1002-1892.201902059']",10.7507/1002-1892.201902059,"['2019/09/13 06:00', '2019/09/13 06:00', '2019/11/07 06:00', '2019/09/01 00:00']",[],1,23,Zhongguo xiu fu chong jian wai ke za zhi = Zhongguo xiufu chongjian waike zazhi = Chinese journal of reparative and reconstructive surgery,doi: 10.7507/1002-1892.201902059,2019 Sep 15;33(9):1088-1094,"OBJECTIVE: To investigate the effect of isokinetic training of thigh muscle group on graft remodeling after anterior cruciate ligament (ACL) reconstruction, and summarize the relevant rules to guide the clinic. METHODS: Between August 2016 and December 2016, forty patients underwent arthroscopic ACL reconstruction using hamstring tendon were randomly divided into isokinetic group and control group ( n=20). The two groups of patients underwent staged rehabilitation treatment. The isokinetic group replaced the traditional intervention with the corresponding isokinetic strength training from 3 to 6 months after operation, and the traditional rehabilitation intervention was used in the control group. Finally, 12 cases of isokinetic group and 12 cases of control group with complete follow-up were enrolled in study. There was no significant difference in gender, age, body mass index, side of injury, the interval between injury and operation, and preoperative International Knee Documentation Committee (IKDC) score between the two groups ( P>0.05). The peak torque (PT) of knee extension and flexion and hamstring quadriceps ratio (H/Q) were measured at 3 months, 6 months, 12 months, and the second-look arthroscopy. The MRI examination was performed at the same time to evaluate graft remodeling. The shape, tension, and degree of vascularization of grafts were observed under arthroscopy. The grafts were harvested and observed by HE staining. RESULTS: The invertal between ACL reconstruction and the second-look arthroscopy was (23.57+/-3.23) months in isokinetic group and (23.22+/-3.56) months in control group, showing no significant difference between the two groups ( P>0.05). At the second-look arthroscopy, the IKDC score was 90.45+/-4.73 in isokinetic group and 89.32+/-4.54 in control group, showing significant differences when compared with preoperative scores in the two groups ( P<0.05). But there was no significant difference between the two groups ( t=0.868， P=0.404). At 3 months after operation, there was no significant difference in the PT of knee extension and flexion between the two groups ( P>0.05). At 6 months, 12 months, and the second-look arthroscopy, the PT of knee extension and flexion in isokinetic group were higher than those in control group ( P<0.05). The H/Q at 6 months and 12 months were higher in isokinetic group than in control group, and the differences were significant ( P<0.05). There was no significant difference in MRI score between the two groups at 3 months, 6 months, and the second-look arthroscopy ( P>0.05). The MRI score at 12 months was significantly higher in isokinetic group than in control group ( P<0.05). At the second-look arthroscopy, there was no significant difference in the arthroscopic score between the two groups ( P>0.05), and the histological score of the isokinetic group was superior to the control group ( P<0.05). CONCLUSION: On the basis of regular rehabilitation training, using the isokinetic training system to develop a suitable post-surgical isokinetic rehabilitation training program is helpful in early muscle strength recovery, early graft remodeling, and even long-term histological results after ACL reconstruction."
48,31351901,2020 Sep-Oct,2019 Jul 16,Braz J Phys Ther,"['Vidmar MF', 'Baroni BM', 'Michelin AF', 'Mezzomo M', 'Lugokenski R', 'Pimentel GL', 'Silva MF']",Silva MF,Isokinetic eccentric training is more effective than constant load eccentric training for quadriceps rehabilitation following anterior cruciate ligament reconstruction: a randomized controlled trial.,24,5,424-432,['English'],101615124,1413-3555,1809-9246,"['Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish+epublish,"['31351901', 'PMC7563799', 'pmc-id: PMC7563799;', '10.1016/j.bjpt.2019.07.003', 'S1413-3555(19)30009-7']",10.1016/j.bjpt.2019.07.003,"['2019/01/09 00:00', '2019/07/02 00:00', '2019/07/03 00:00', '2019/07/29 06:00', '2021/04/07 06:00', '2019/07/29 06:00', '2019/07/16 00:00']",[],1,54,Brazilian journal of physical therapy,doi: 10.1016/j.bjpt.2019.07.003,2020 Sep-Oct;24(5):424-432,"OBJECTIVE: To compare the effects of conventional (constant load) eccentric training and isokinetic eccentric training on quadriceps muscle mass, strength and functional performance in recreational athletes following anterior cruciate ligament (ACL) reconstruction. METHODS: Thirty recreational male athletes (25 years old) undergoing ACL reconstruction received a standard rehabilitation program. Volunteers were randomized to conventional group (CG; n = 15) or isokinetic group (IG; n = 15) to be engaged in a 6-week (2 sessions/week) quadriceps eccentric training program at the extensor chair or at the isokinetic dynamometer, respectively. Assessments of quadriceps muscle mass (through magnetic resonance imaging), strength (through isokinetic dynamometry) and self-aware functionality (through questionnaire) were performed before and after the training programs. Single leg hop test performance was assessed only at post-training evaluation. RESULTS: IG had significantly higher improvements than CG (p < 0.05) for all muscle mass outcomes (+17-23% vs. +5-9%), as well as for isometric (+34% vs. +20%) and eccentric (+85% vs. +23%) peak torques. There was no between-group difference (p > 0.05) for concentric peak torque, Lysholm score, and single leg hop test. CONCLUSION: Isokinetic eccentric training promotes greater responses than conventional eccentric training on quadriceps muscle mass and strength of recreational athletes following ACL reconstruction."
49,31246607,2019 Sep,,Anesthesiology,"['Abdallah FW', 'Mejia J', 'Prasad GA', 'Moga R', 'Chahal J', 'Theodoropulos J', 'Dwyer T', 'Brull R']",Brull R,"Opioid- and Motor-sparing with Proximal, Mid-, and Distal Locations for Adductor Canal Block in Anterior Cruciate Ligament Reconstruction: A Randomized Clinical Trial.",131,3,619-629,['English'],1300217,0003-3022,1528-1175,"['Journal Article', 'Randomized Controlled Trial', ""Research Support, Non-U.S. Gov't""]",PubMed - indexed for MEDLINE,ppublish,"['31246607', '10.1097/ALN.0000000000002817']",10.1097/ALN.0000000000002817,"['2019/06/28 06:00', '2020/02/01 06:00', '2019/06/28 06:00']",[],1,0,Anesthesiology,doi: 10.1097/ALN.0000000000002817,2019 Sep;131(3):619-629,"BACKGROUND: The ideal location for single-injection adductor canal block that maximizes analgesia while minimizing quadriceps weakness after painful knee surgery is unclear. This triple-blind trial compares ultrasound-guided adductor canal block injection locations with the femoral artery positioned medial (proximal adductor canal), inferior (mid-adductor canal), and lateral (distal adductor canal) to the sartorius muscle to determine the location that optimizes postoperative analgesia and motor function. The hypothesis was that distal adductor block has (1) a superior opioid-sparing effect and (2) preserved quadriceps strength, compared with proximal and mid-locations for anterior cruciate ligament reconstruction. METHODS: For the study, 108 patients were randomized to proximal, mid-, or distal adductor canal injection locations for adductor canal block. Cumulative 24-h oral morphine equivalent consumption and percentage quadriceps strength decrease (maximum voluntary isometric contraction) at 30 min postinjection were coprimary outcomes. The time to first analgesic request, pain scores, postoperative nausea/vomiting at least once within the first 24 h, and block-related complications at 2 weeks were also evaluated. RESULTS: All patients completed the study. Contrary to the hypothesis, proximal adductor canal block decreased 24-h morphine consumption to a mean +/- SD of 34.3 +/- 19.1 mg, (P < 0.0001) compared to 64.0 +/- 33.6 and 65.7 +/- 22.9 mg for the mid- and distal locations, respectively, with differences [95% CI] of 29.7 mg [17.2, 42.2] and 31.4 mg [21.5, 41.3], respectively, mostly in the postanesthesia care unit. Quadriceps strength was similar, with 16.7%:13.4%:15.3% decreases for proximal:mid:distal adductor canal blocks. The nausea/vomiting risk was also lower with proximal adductor canal block (10 of 34, 29.4%) compared to distal location (23 of 36, 63.9%; P = 0.005). The time to first analgesic request was longer, and postoperative pain was improved up to 6 h for proximal adductor canal block, compared to mid- and distal locations. CONCLUSIONS: A proximal adductor canal injection location decreases opioid consumption and opioid-related side effects without compromising quadriceps strength compared to mid- and distal locations for adductor canal block in patients undergoing anterior cruciate ligament reconstruction."
50,31130273,2019 Aug,2019 May 24,Br J Anaesth,"['Stebler K', 'Martin R', 'Kirkham KR', 'Lambert J', 'De Sede A', 'Albrecht E']",Albrecht E,Adductor canal block versus local infiltration analgesia for postoperative pain after anterior cruciate ligament reconstruction: a single centre randomised controlled triple-blinded trial.,123,2,e343-e349,['English'],0372541,0007-0912,1471-6771,"['Comparative Study', 'Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish+epublish,"['31130273', 'PMC6676236', 'pmc-id: PMC6676236;', '10.1016/j.bja.2019.04.053', 'S0007-0912(19)30340-X']",10.1016/j.bja.2019.04.053,"['2019/02/12 00:00', '2019/03/20 00:00', '2019/04/17 00:00', '2019/05/28 06:00', '2019/08/08 06:00', '2019/05/28 06:00', '2019/05/24 00:00']",['Br J Anaesth. 2019 Aug;123(2):e186-e188. doi: 10.1016/j.bja.2019.05.028. PMID: 31202563'],1,23,British journal of anaesthesia,doi: 10.1016/j.bja.2019.04.053,2019 Aug;123(2):e343-e349,"BACKGROUND: Both the adductor canal block (ACB) and local infiltration analgesia (LIA) are effective analgesic techniques after anterior cruciate ligament (ACL) reconstruction, but they have never been compared head-to-head. This randomised controlled triple-blinded trial tested the hypothesis that ACB provides superior analgesia to LIA after ACL reconstruction, with additional focus on postoperative functional outcomes. METHODS: Of 104 enrolled ACL reconstruction patients receiving general anaesthesia, 52 were randomly allocated to either ACB under ultrasound guidance or LIA. For each intervention, ropivacaine 0.5%, 20 ml was injected. Postoperative pain treatment followed a predefined protocol with i.v. patient-controlled morphine, paracetamol, and ibuprofen. The primary outcome was cumulative i.v. morphine consumption at 24 h after operation. Secondary pain-related outcomes included resting and dynamic pain scores (numeric rating scale out of 10) measured 2, 24, and 48 h after operation and cumulative i.v. morphine consumption 2 and 48 h after operation. Early function-related outcomes evaluated were quadriceps strength, walking distance, and range of motion, all measured 24 and 48 h after operation. Late function-related outcomes were concentric quadriceps strength, single-hop test, triple-hop test, cross-over test, and Y balance test, measured at 4 and 8 postoperative months. RESULTS: Cumulative i.v. morphine consumption at 24 h was similar between groups (ACB group: 17.1 mg [95% confidence interval, CI: 13.1, 21.2]; LIA group: 17.7 mg [95% CI: 13.2, 22.6], P=0.84). Similarly, no differences between groups were seen in the secondary pain- or function-related outcomes. CONCLUSIONS: ACB and LIA result in equivalent postoperative opioid consumption with similar impact on postoperative pain scores and functional outcomes. CLINICAL TRIAL REGISTRATION: NCT02524652."
51,31080007,2019 May-Jun,2019 May 10,Braz J Anesthesiol,"['Arora S', 'Sadashivappa C', 'Sen I', 'Sahni N', 'Gandhi K', 'Batra YK', 'Dhillon MS']",Dhillon MS,[Comparison of adductor canal block for analgesia in arthroscopic surgery with ropivacaine alone and ropivacaine and clonidine].,69,3,272-278,['Portuguese'],101624623,0104-0014,2352-2291,"['Comparative Study', 'Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish+epublish,"['31080007', 'PMC9391854', 'pmc-id: PMC9391854;', '10.1016/j.bjan.2018.12.004', 'S0034-7094(18)30048-5']",10.1016/j.bjan.2018.12.004,"['2018/02/07 00:00', '2018/11/26 00:00', '2018/12/03 00:00', '2019/05/14 06:00', '2020/01/10 06:00', '2019/05/14 06:00', '2019/01/22 00:00']",[],1,17,Brazilian journal of anesthesiology (Elsevier),doi: 10.1016/j.bjan.2018.12.004,2019 May-Jun;69(3):272-278,"BACKGROUND AND OBJECTIVES: Inadequate pain relief after anterior cruciate ligament reconstruction affects mobility leading to development of adhesions, weakened ligament insertion and muscle atrophy. Adductor canal block for postoperative analgesia preserves quadriceps strength. The present study was conducted to compare pain free period in patients undergoing arthroscopic anterior cruciate ligament reconstruction, receiving ultrasound-guided adductor canal block with ropivacaine alone and ropivacaine with clonidine. METHODS: A prospective randomized double blinded study was conducted including sixty-three adult, ASA class I, II patients undergoing anterior cruciate ligament reconstruction. They were randomized into three groups: Group S - control group received adductor canal block with 30 mL saline, Group R - ropivacaine group received adductor canal block with 30 mL of 0.375% ropivacaine and Group RC - clonidine group received adductor canal block with 30 mL of 0.375% ropivacaine with clonidine 1 mug.kg(-1). The primary aim was to compare the pain free period in patients receiving adductor canal block with ropivacaine alone or ropivacine with clonidine. The secondary outcomes were pain score at rest and movement, total analgesic requirement, sedation score and postoperative nausea and vomiting. RESULTS: The mean pain free periods were 20 min, 384.76 min and 558.09 min for Group S, Group R and Group RC, respectively and this difference was statistically significant (p < 0.001). There was no significant difference between Group R and Group RC in terms of pain scores at rest and movement and total analgesic requirement. CONCLUSION: Addition of clonidine to ropivacaine in USG guided adductor canal block led to significant prolongation of pain free period though pain score at rest and movement, and rescue analgesic requirement, did not differ."
52,30822124,2019 Mar,,Am J Sports Med,"['Hoogeslag RAG', 'Brouwer RW', 'Boer BC', 'de Vries AJ', ""Huis In 't Veld R""]",Huis In 't Veld R,Acute Anterior Cruciate Ligament Rupture: Repair or Reconstruction? Two-Year Results of a Randomized Controlled Clinical Trial.,47,3,567-577,['English'],7609541,0363-5465,1552-3365,"['Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish,"['30822124', '10.1177/0363546519825878']",10.1177/0363546519825878,"['2019/03/02 06:00', '2019/03/02 06:00', '2020/02/14 06:00']",[],1,0,The American journal of sports medicine,doi: 10.1177/0363546519825878,2019 Mar;47(3):567-577,"BACKGROUND: Contemporary anterior cruciate ligament (ACL) suture repair techniques have been subject to renewed interest in recent years. Although several clinical studies have yielded good short-term results, high-quality evidence is lacking in regard to the effectiveness of this treatment compared with ACL reconstruction. HYPOTHESIS: Dynamic augmented ACL suture repair is at least as effective as anatomic single-bundle ACL reconstruction for the treatment of acute ACL rupture in terms of patient self-reported outcomes at 2 years postoperatively. STUDY DESIGN: Randomized controlled trial; Level of evidence, 1. METHODS: After stratification and randomization, 48 patients underwent either dynamic augmented ACL suture repair or ACL reconstruction with a single-bundle, all-inside, semitendinosus technique. The International Knee Documentation Committee (IKDC) subjective score at 2 years postoperatively was the primary outcome measure. Patient-reported outcomes (IKDC subjective score, Knee injury and Osteoarthritis Outcome Score, Tegner score, visual analog scale for satisfaction), clinical outcomes (IKDC physical examination score, leg symmetry index for the quadriceps, hamstrings strength, and jump test battery), and radiological outcomes as well as adverse events including reruptures were recorded. Analyses were based on an intention-to-treat principle. RESULTS: The lower limit for the median IKDC subjective score of the repair group (86.2) fell within the prespecified noninferiority margin, confirming noninferiority of dynamic augmented ACL suture repair compared with ACL reconstruction. No statistical difference was found between groups for median IKDC subjective score (repair, 95.4; reconstruction, 94.3). Overall, 2 reruptures (8.7%) occurred in the dynamic ACL suture repair group and 4 reruptures (19.0%) in the ACL reconstruction group; further, 5 repeat surgeries-other than for revision ACL surgery-took place in 4 patients from the dynamic ACL suture repair group (20.8%) and in 3 patients from the ACL reconstruction group (14.3%). CONCLUSION: Dynamic augmented ACL suture repair is not inferior to ACL reconstruction in terms of subjective patient-reported outcomes as measured with the IKDC subjective score 2 years postoperatively. However, for reasons other than revision ACL surgery due to rerupture, a higher number of related adverse events leading to repeat surgery were seen in the dynamic augmented ACL suture repair group within 2 years postoperatively. CLINICAL RELEVANCE: Dynamic augmented ACL suture repair might be a viable treatment option for patients with an acute ACL rupture. REGISTRATION: NCT02310854 ( ClinicalTrials.gov identifier)."
53,30733025,2019 Mar,2019 Feb 4,Arthroscopy,"['Bailey L', 'Griffin J', 'Elliott M', 'Wu J', 'Papavasiliou T', 'Harner C', 'Lowe W']",Lowe W,Adductor Canal Nerve Versus Femoral Nerve Blockade for Pain Control and Quadriceps Function Following Anterior Cruciate Ligament Reconstruction With Patellar Tendon Autograft: A Prospective Randomized Trial.,35,3,921-929,['English'],8506498,0749-8063,1526-3231,"['Journal Article', 'Randomized Controlled Trial', ""Research Support, Non-U.S. Gov't""]",PubMed - indexed for MEDLINE,ppublish+epublish,"['30733025', '10.1016/j.arthro.2018.10.149', 'S0749-8063(18)31040-5']",10.1016/j.arthro.2018.10.149,"['2018/06/12 00:00', '2018/10/11 00:00', '2018/10/21 00:00', '2019/02/09 06:00', '2020/02/26 06:00', '2019/02/09 06:00']","['J Bone Joint Surg Am. 2019 Nov 20;101(22):2061. doi: 10.2106/JBJS.19.00985. PMID: 31764369', 'Arthroscopy. 2020 Mar;36(3):621-622. doi: 10.1016/j.arthro.2020.01.002. PMID: 32139040', 'Arthroscopy. 2020 Mar;36(3):621. doi: 10.1016/j.arthro.2020.01.001. PMID: 32139041']",1,0,Arthroscopy : the journal of arthroscopic & related surgery : official publication of the Arthroscopy Association of North America and the International Arthroscopy Association,doi: 10.1016/j.arthro.2018.10.149,2019 Mar;35(3):921-929,"PURPOSE: To compare femoral nerve blockade (FNB) versus adductor canal nerve blockade (ACB) for postoperative pain control and quadriceps muscle function in patients undergoing anterior cruciate ligament (ACL) reconstruction with patellar tendon autograft. METHODS: A randomized therapeutic trial of 90 patients undergoing ACL reconstruction with patellar tendon autograft was conducted comparing ACB versus FNB at 24 hours, 2 and 4 weeks, and 6 months postsurgery. Early outcome measures included average pain score and morphine equivalent units (milligrams) consumed, quadriceps surface electromyography, straight leg raise, and ability to ambulate without assistive devices. The 6-month outcome measures included knee range of motion (ROM), isokinetic knee extension peak torque, single-leg squat, and single-leg hop performance. Complications were recorded throughout the study for the development of anterior knee pain, knee extension ROM loss, deep vein thrombosis, and graft failure. Mixed-model analysis of variance and Mann-Whitney U tests were performed using an alpha of .05. RESULTS: Quadriceps surface electromyography deficits were higher for FNB at 24 hours (P < .001) and 2 weeks (P < .001) when compared with the ACB group. There were no between-groups difference for subjective pain (P = .793) or morphine consumption (P = .358) within the first 24 hours of surgery. A higher percentage of patients in the ACB group met the full ambulation criteria at 4 weeks compared with the FNB group (100% vs 84.2%, P < .001). No between-group differences were observed at 6 months; however, the rate of knee extension ROM loss was higher for the FNB group versus the ACB group (21.1% vs 5.0%, P = .026), respectively. CONCLUSIONS: ACB was as effective as FNB at providing pain control while eliciting fewer quadriceps muscle activation deficits and fewer postoperative complications. Based on previous evidence and the results of this study, we recommend the use of ACB over FNB for the analgesic management of patients undergoing ACL reconstruction with patellar tendon autograft. LEVEL OF EVIDENCE: Level I, prospective randomized controlled trial."
54,30611343,2019 Jan,,Arthroscopy,"['Felli L', 'Revello S', 'Burastero G', 'Gatto P', 'Carletti A', 'Formica M', 'Alessio-Mazzola M']",Alessio-Mazzola M,Single Intravenous Administration of Tranexamic Acid in Anterior Cruciate Ligament Reconstruction to Reduce Postoperative Hemarthrosis and Increase Functional Outcomes in the Early Phase of Postoperative Rehabilitation: A Randomized Controlled Trial.,35,1,149-157,['English'],8506498,0749-8063,1526-3231,"['Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish,"['30611343', '10.1016/j.arthro.2018.07.050', 'S0749-8063(18)30671-6']",10.1016/j.arthro.2018.07.050,"['2018/03/29 00:00', '2018/07/30 00:00', '2018/07/31 00:00', '2019/01/07 06:00', '2019/01/07 06:00', '2020/01/21 06:00']",['J Bone Joint Surg Am. 2019 Aug 21;101(16):1516. doi: 10.2106/JBJS.19.00514. PMID: 31436663'],1,0,Arthroscopy : the journal of arthroscopic & related surgery : official publication of the Arthroscopy Association of North America and the International Arthroscopy Association,doi: 10.1016/j.arthro.2018.07.050,2019 Jan;35(1):149-157,"PURPOSE: To evaluate the effect of tranexamic acid (TXA) in patients undergoing anterior cruciate ligament (ACL) reconstruction in reducing intra-articular effusion and affecting clinical outcomes 3 months after surgery. METHODS: Eighty consecutive patients undergoing ACL reconstruction were prospectively assessed from 2014 to 2016. Patients were randomly allocated to 1 of 2 groups: The test group received an intravenous infusion of 15 mg/kg of TXA, and the control group did not receive TXA. The patellar circumference, range of motion (ROM), Coupens and Yates (CY) value, visual analog scale score for pain assessment, and quadriceps strength (QS) were considered on postoperative day (PD) 1, PD 7, and PD 15 and at 1 month and 3 months after surgery. Blood volume in the intra-articular drainage was recorded on PD 1. Any adverse effect, such as fever onset (>37.5 degrees C), hemarthrosis, or infection, was also considered. RESULTS: We found a statistically significant reduction in drainage blood volume (P < .001) and CY value (P = .0044) on PD 1 in patients in the test group compared with those in the control group. On PD 7, a significant improvement was found for mean CY values (P = .0057), ROM (P = .0031), and QS (P = .015). On PD 15, we noted significant improvements in CY values (P < .001), patellar circumference (P = .0019), QS (P = .0089), and visual analog scale values (P = .0032) in the test group. We noted 13 fever episodes in the control group and 2 fever episodes in the study group (P = .047). No differences for any outcomes or complications were found at 3 months. CONCLUSION: TXA administration reduced hemarthrosis and the amount of suction drainage blood volume, improved ROM and QS, and reduced fever episodes during the first 2 weeks after surgery. TXA use improved early-phase outcomes in the postoperative period after ACL reconstruction. LEVEL OF EVIDENCE: Level I, randomized controlled trial."
55,30557034,2019 Feb,2018 Dec 17,Am J Sports Med,"['Lynch JR', 'Okoroha KR', 'Lizzio V', 'Yu CC', 'Jildeh TR', 'Moutzouros V']",Moutzouros V,Adductor Canal Block Versus Femoral Nerve Block for Pain Control After Anterior Cruciate Ligament Reconstruction: A Prospective Randomized Trial.,47,2,355-363,['English'],7609541,0363-5465,1552-3365,"['Comparative Study', 'Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish+epublish,"['30557034', '10.1177/0363546518815874']",10.1177/0363546518815874,"['2018/12/18 06:00', '2020/01/28 06:00', '2018/12/18 06:00']","['Am J Sports Med. 2019 Aug;47(10):NP49. doi: 10.1177/0363546519859546. PMID: 31365844', 'Am J Sports Med. 2019 Aug;47(10):NP49-NP50. doi: 10.1177/0363546519859547. PMID: 31365845']",1,0,The American journal of sports medicine,doi: 10.1177/0363546518815874,2019 Feb;47(2):355-363,"BACKGROUND: Femoral nerve block (FNB) is a commonly performed technique that has been proven to provide effective regional analgesia after anterior cruciate ligament (ACL) reconstruction. The adductor canal block (ACB) uses a similar sensory block around the knee while avoiding motor blockade of the quadriceps muscles. PURPOSE/HYPOTHESIS: The purpose of our study was to compare the efficacy of FNB versus ACB for pain control after ACL reconstruction. It was hypothesized that there would be no difference in pain levels or opioid requirements between the 2 groups. STUDY DESIGN: Randomized controlled trial; Level of evidence, 1. METHODS: We performed a prospective, double-blinded, randomized controlled trial. Sixty patients undergoing primary ACL reconstruction with bone-patellar tendon-bone autograft were randomized to receive either an ACB or an FNB preoperatively. The primary outcomes assessed were pain levels (visual analog scale) and narcotic requirements for 4 days after surgery. Secondary outcomes included ability to perform a straight leg raise in the recovery room and difference in thigh circumference between the operative and nonoperative leg measured at 7 days postoperatively. RESULTS: Morphine requirements were less in the ACB group in the first 4 hours postoperatively ( P = .02). Aside from this time interval, no differences were found between the 2 groups with regard to opioid requirements and pain scores at any other time. Similarly, no differences were noted in patients' ability to perform a straight leg raise in the recovery room ( P = .13) or in thigh circumference at the first postoperative visit ( P = .09). CONCLUSION: The results of our study suggest similar efficacy in perioperative pain control with the use of an ACB for ACL reconstruction when compared with FNB. The potential long-term benefit of quadriceps preservation with the ACB is worthy of future study. REGISTRATION: NCT03033589 (ClinicalTrials.gov identifier)."
