,Unnamed: 0,id,study,subgroup,authors,first_author,title,short_title,abstract,year,language,journal,source,doi,doi_url,pmid,pmid_url,title+author+year,title+year
193,517,518,Laborde (2004),QT,"Laborde A, Rebai H, Coudeyre L, Boisgard S, Eyssette M, Coudert J",Laborde,[Comparison of two electrical stimulation protocols on quadriceps muscle after anterior cruciate ligament surgery. Feasability study].,comparisonoftwoelectricalstimulationprotocolsonquadricepsmus,"OBJECTIVES: To evaluate the feasibility of a study comparing the effects of two protocols of electrical stimulation of the quadriceps femoris after anterior cruciate ligament surgery. MATERIAL: Seven sportsmen with a mean age of 26 yrs were randomly grouped in two: a 20 Hz stimulated group (4 patients) and a 80 Hz stimulated group (3 patients). After surgery all patients received electrical stimulation of the quadriceps femoris, five days a week, for 12 weeks, and had a standard program of voluntary contractions. The main outcome assessed before and three months after surgery were: quadriceps and hamstring peak torque at 90, 180 and 240 degrees /second, maximal isometric quadriceps at 75 degrees of flexion and muscle and subcutaneous fat volumes of the thigh using MRI. RESULTS: After 12 weeks of rehabilitation, the thigh muscle volume deficit of the operated limb was between 3 and 9% in the 20 Hz stimulated group and between 1 and 2% in the 80 Hz stimulated group. Quadriceps peak torque deficit was less than 30% except for two patients in the 20 Hz stimulated group. Maximal isometric quadriceps deficit of the operated limb was higher than 30% except for two patients in the 20 Hz stimulated group. CONCLUSION: The study showed that comparison of two protocols of electrical stimulation of the quadriceps femoris after anterior cruciate ligament surgery is possible if stimulation period is not more than four weeks.",2004,French,Ann Readapt Med Phys,pubmed,10.1016/j.annrmp.2003.09.007,https://doi.org/10.1016/j.annrmp.2003.09.007,15013599.0,https://pubmed.ncbi.nlm.nih.gov/15013599/,Laborde+comparisonoftwoelectricalstimulationprotocolsonquadricepsmus+2004,comparisonoftwoelectricalstimulationprotocolsonquadricepsmus+2004
236,1146,257,Schuster (2011),HT,"Schuster M, Engelhardt L, Erler W, Dienert B, Wagner M, Birnbaum J, Volk T",Schuster,Levobupivacaine vs. ropivacaine for continuous femoral analgesia after anterior cruciate ligament reconstruction,levobupivacainevsropivacaineforcontinuousfemoralanalgesiaaft,"Background. Levobupivacaine and ropivacaine are both used for continuous femoral analgesia after anterior cruciate ligament reconstruction; however it is unknown whether both drugs are equally effective regarding pain control, preservation of mobility and patient satisfaction. Methods and materials. In this randomized, placebo-controlled trial 84 patients undergoing anterior cruciate ligament (ACL) reconstruction with quadruple hamstring tendons were studied. For postoperative pain therapy levobupivacaine 0.125%, ropivacaine 0.2% or placebo control with NaCl 0.9% at a rate of 6 ml/h were used for 48 h using a femoral nerve catheter. All patients also received an i.v. patient-controlled analgesia (IVPCA) pump with piritramide. Results. Patient satisfaction was significantly higher and night rest was better in both treatment groups compared to the placebo group but there appeared to be no major differences between the two local anesthetics. Opioid consumption was significantly higher in the placebo group compared to the levobupivacaine group but not the ropivacaine group. The pain scores showed a trend towards higher scores in the placebo group throughout but the difference only reached statistical significance on postoperative day 1. No statistical significant differences in motor block were found between the three groups. Conclusion. Postoperative analgesia for ACL reconstruction during the first 48 h using femoral block with a continuous infusion of levobupivacaine 0.125% or ropivacaine 0.2% in combination with an IVPCA is similarly effective and better than a placebo. Both studied drugs seem to be equally appropriate for this purpose.",2011,German,SCHMERZ,wos,10.1007/s00482-010-1006-z,https://doi.org/10.1007/s00482-010-1006-z,21258820.0,https://pubmed.ncbi.nlm.nih.gov/21258820/,Schuster+levobupivacainevsropivacaineforcontinuousfemoralanalgesiaaft+2011,levobupivacainevsropivacaineforcontinuousfemoralanalgesiaaft+2011
317,66,67,Pässler (2010),BPTB,Pässler HH,Pässler,[Anatomic anterior cruciate ligament reconstruction with hamstrings using press-fit fixation without hardware: operative technique and long-term results of a prospective and randomized study].,anatomicanteriorcruciateligamentreconstructionwithhamstrings,"An innovative technique for anterior cruciate ligament (ACL) reconstruction has been developed in 1998 which allows the grafts to be fixed by press-fit to the femoral and tibial tunnel without any hardware. The semitendinosus (ST) and gracilis tendons (GT) are built into a sling by tying a knot with the tendon ends and securing the knot after conditioning by sutures. For the femoral tunnel the anteromedial porta is used. The correct anatomic position of the single femoral tunnel is checked using intraoperative lateral fluoroscopy by placing the tip of a K-wire to a point between the anteromedial and posterolateral bundle insertion sites. A femoral bottleneck tunnel is drilled to receive the knot of the tendons. The tendon loops filled the tibial tunnel without any suture material. The loops are fixed at the tibial tunnel outlet with tapes over a bone bridge. Between 1998 and 1999 a prospective randomized study (level 1) was conducted comparing this technique with a technique using bone-patellar-tendon graft and press-fit fixation without hardware. In conclusion it was found that implant-free press-fit ACL reconstruction using bone-patella-tendon (BPT) and hamstring tendon (HT) grafts proved to be an excellent procedure to restore stability and function of the knee. Using hamstring tendons (ST and GT) significantly lower donor site morbidity was noted. Kneeling and knee walking pain persisted to be significantly more intense in the BPT up to 9 years after the operation. Re-rupture rates, subjective findings, knee stability and isokinetic testing showed similar results for both grafts. This is the first level I study which demonstrates cartilage protection by ACL reconstruction as long as the meniscus is intact at index surgery, shown by bilateral MRI analysis 9 years post-operation. There was no significant difference in the average grade of chondral and meniscus lesions between BPT and HT and in comparison of the operated to the intact knee, except for grade 3-4 lesions found at the 9 year follow-up, which were significantly higher in the BPT group.",2010,German,Unfallchirurg,pubmed,10.1007/s00113-010-1791-y,https://doi.org/10.1007/s00113-010-1791-y,20607509.0,https://pubmed.ncbi.nlm.nih.gov/20607509/,Pässler+anatomicanteriorcruciateligamentreconstructionwithhamstrings+2010,anatomicanteriorcruciateligamentreconstructionwithhamstrings+2010
350,123,124,Tibesku (2003),BPTB,"Tibesku CO, Springer J, Mastrokalos DS, Pässler HH",Tibesku,[Internal rotational strength of the thigh after ACL reconstruction. Prospective comparison of harvesting of the semitendinosus and gracilis tendons and the patella tendon].,internalrotationalstrengthofthethighafteraclreconstructionpr,"AIM: The aim of the present study was the prospective, randomized evaluation of the internal rotation strength in patients, undergoing ACL reconstruction using either semitendinosus and gracilis tendon autografts (ST/G) or the central third of the patella tendon (BPT). METHOD: 40 patients (20 male, 20 female, average age 32 years [16 - 49]) underwent reconstruction of the ACL. In 20 patients ST/G was used, in 20 matched patients the central third of the patella tendon (BPT) was used. Rehabilitation was identical for both groups. The isometric strength of internal tibial rotation in neutral position was measured preoperatively, 3, 6 and 12 months postoperatively. RESULTS: After 3 months no difference to the preoperative data was found. After six months the internal tibial torque was significantly higher (p < 0.05) than preoperatively. No additional increase was found after 12 months. There was no statistically significant difference between both groups at any time. CONCLUSION: The internal tibial torque, which is predominantly a function of the pes anserinus, recovers shortly after operation and is, due to postoperative rehabilitation, significantly elevated after 6 months. The randomized comparison with the harvesting of the central third of the patellar tendon showed no significant difference.",2003,German,Sportverletz Sportschaden,pubmed,10.1055/s-2003-42153,https://doi.org/10.1055/s-2003-42153,12975729.0,https://pubmed.ncbi.nlm.nih.gov/12975729/,Tibesku+internalrotationalstrengthofthethighafteraclreconstructionpr+2003,internalrotationalstrengthofthethighafteraclreconstructionpr+2003
392,233,234,Liu (2019),HT,"Liu H, Lu W, Liang D, Geng H, Zhu W, Ouyang K, Li H, Peng L, Feng W, Zhong M, Chen K, Li Y, Deng Z, Wang D",Liu,[Effect of isokinetic training of thigh muscle group on graft remodeling after anterior cruciate ligament reconstruction].,effectofisokinetictrainingofthighmusclegroupongraftremodelin,"OBJECTIVE: To investigate the effect of isokinetic training of thigh muscle group on graft remodeling after anterior cruciate ligament (ACL) reconstruction, and summarize the relevant rules to guide the clinic. METHODS: Between August 2016 and December 2016, forty patients underwent arthroscopic ACL reconstruction using hamstring tendon were randomly divided into isokinetic group and control group ( n=20). The two groups of patients underwent staged rehabilitation treatment. The isokinetic group replaced the traditional intervention with the corresponding isokinetic strength training from 3 to 6 months after operation, and the traditional rehabilitation intervention was used in the control group. Finally, 12 cases of isokinetic group and 12 cases of control group with complete follow-up were enrolled in study. There was no significant difference in gender, age, body mass index, side of injury, the interval between injury and operation, and preoperative International Knee Documentation Committee (IKDC) score between the two groups ( P>0.05). The peak torque (PT) of knee extension and flexion and hamstring quadriceps ratio (H/Q) were measured at 3 months, 6 months, 12 months, and the second-look arthroscopy. The MRI examination was performed at the same time to evaluate graft remodeling. The shape, tension, and degree of vascularization of grafts were observed under arthroscopy. The grafts were harvested and observed by HE staining. RESULTS: The invertal between ACL reconstruction and the second-look arthroscopy was (23.57+/-3.23) months in isokinetic group and (23.22+/-3.56) months in control group, showing no significant difference between the two groups ( P>0.05). At the second-look arthroscopy, the IKDC score was 90.45+/-4.73 in isokinetic group and 89.32+/-4.54 in control group, showing significant differences when compared with preoperative scores in the two groups ( P<0.05). But there was no significant difference between the two groups ( t=0.868， P=0.404). At 3 months after operation, there was no significant difference in the PT of knee extension and flexion between the two groups ( P>0.05). At 6 months, 12 months, and the second-look arthroscopy, the PT of knee extension and flexion in isokinetic group were higher than those in control group ( P<0.05). The H/Q at 6 months and 12 months were higher in isokinetic group than in control group, and the differences were significant ( P<0.05). There was no significant difference in MRI score between the two groups at 3 months, 6 months, and the second-look arthroscopy ( P>0.05). The MRI score at 12 months was significantly higher in isokinetic group than in control group ( P<0.05). At the second-look arthroscopy, there was no significant difference in the arthroscopic score between the two groups ( P>0.05), and the histological score of the isokinetic group was superior to the control group ( P<0.05). CONCLUSION: On the basis of regular rehabilitation training, using the isokinetic training system to develop a suitable post-surgical isokinetic rehabilitation training program is helpful in early muscle strength recovery, early graft remodeling, and even long-term histological results after ACL reconstruction.",2019,Chinese,Zhongguo Xiu Fu Chong Jian Wai Ke Za Zhi,pubmed,10.7507/1002-1892.201902059,https://doi.org/10.7507/1002-1892.201902059,31512448.0,https://pubmed.ncbi.nlm.nih.gov/31512448/,Liu+effectofisokinetictrainingofthighmusclegroupongraftremodelin+2019,effectofisokinetictrainingofthighmusclegroupongraftremodelin+2019
442,429,430,Fiorentin (2020),QT,"Fiorentin JZ, Martins AV, Cañola JMV, Gutierrez LC, Perches F, Sakae TM, Tenório SB",Fiorentin,[Comparison between subarachnoid morphine and femoral nerve block for analgesia after knee ligament reconstruction: a randomized clinical trial].,comparisonbetweensubarachnoidmorphineandfemoralnerveblockfor,"BACKGROUND AND OBJECTIVES: There are no consensus of the ideal technique to provide analgesia in knee ligament reconstructions. The aim of this study was to compare the intensity of postoperative pain in these patients under different modalities of analgesia. METHOD: Randomized and controlled clinical trial of patients undergoing reconstruction of the Anterior Cruciate Ligament (ACL) with flexor tendons between December 2013 and 2014. All patients underwent spinal anesthesia and rescue analgesia with tramadol. The groups C, M, R0,375 and R0,25 was compared with only the previously described technique, subarachnoid morphine (10025% shaded blockmug), or Femoral Nerve Block (BNF) with 2525% shaded blockmL of 0.375% ropivacaine and 0.25%, respectively. Pain intensity at 6, 12 and 2425% shaded blockhours, age, sex, rescue analgesia, adverse reactions and satisfaction were evaluated. RESULTS: Among the 83 eligible patients, a predominance of males (85.7%) was observed, between 28 and 31 years. The group C requested more opioid (27.3%) than the other groups, without significance when compared. There were no significant differences in pain intensity at 6, 12 and 2425% shaded blockhours. There was a higher incidence of urinary retention in the M group (23.8%) than in the R0,375 (0%) and prolonged quadriceps motor block in the R0,375 group (30%) than in the M and C groups (0%), with statistical significance (p25% shaded block<25% shaded block0.05). CONCLUSION: There was no difference in the intensity of postoperative pain in patients submitted to ACL reconstruction with flexor tendons under the analgesic modalities evaluated, despite the predominance of urinary retention in the M group and motor block in the R0,375 group.",2020,Portuguese,Braz J Anesthesiol,pubmed,10.1016/j.bjan.2019.08.006,https://doi.org/10.1016/j.bjan.2019.08.006,33032804.0,https://pubmed.ncbi.nlm.nih.gov/33032804/,Fiorentin+comparisonbetweensubarachnoidmorphineandfemoralnerveblockfor+2020,comparisonbetweensubarachnoidmorphineandfemoralnerveblockfor+2020
580,69,70,Tian (2010),BPTB,"Tian S, Zhang J, Wang Y, Sun K, Xia C, Yu T, Zhang C",Tian,[A prospective study on anterior cruciate ligament reconstruction with patellar tendon autograft versus gamma irradiated allograft].,aprospectivestudyonanteriorcruciateligamentreconstructionwit,"OBJECTIVE: To analyze the stability and clinical outcomes of arthroscopic anterior cruciate ligament (ACL) reconstruction with gamma irradiated patellar tendon allograft compared with autograft. METHODS: From January 2004 to October 2007, 69 patients undergoing arthroscopic ACL reconstruction were prospectively randomized consecutively into two groups: group A (autograft, n=36) and group B (gamma irradiated allograft, n=33). In group A, there were 30 males and 6 females with an average age of 30.1 years, including 30 cases of simple ACL rupture and 6 cases of ACL rupture with medial accessory ligament injury; ACL rupture was caused by sports in 28 cases, by traffic accident in 5 cases, and by others in 3 cases; and the time from injury to operation was 1.4 months on average. In group B, there were 26 males and 7 females with an average age of 32.5 years, including 27 cases of simple ACL rupture and 6 cases of ACL rupture with medial accessory ligament injury; ACL rupture was caused by sports in 27 cases, by traffic accident in 4 cases, and by others in 2 cases; and the time from injury to operation was 1.5 months on average. There were no significant differences in general data between two groups (P > 0.05). The same arthroscopic technique was used in all ACL reconstructions done by the same surgeon. The clinical outcome was evaluated and compared by general conditions, pivot shift test, Lachman test, KT-2000 arthrometer testing, Daniel's one-leg hop test, International Knee Documental Committee (IKDC) scoring, Lysholm knee scoring scale, and Tegner activity score. RESULTS: All patients were followed up for 39.5 months (group A) and 37.6 months (group B). In group A, patella fracture occurred in 1 case and anterior knee pain in 2 cases postoperatively. No complication occurred in group B. The hospitalization times in groups A and B were (15.6 +/- 2.4) days and (15.5 +/- 1.5) days, respectively, showing no significant difference (P > 0.05). The operation time of group A was longer than that of group B and the fever time of group A was shorter than that of group B, showing significant differences (P < 0.05). At the final follow-up, there were significant differences (P < 0.05) in Lachman test and the pivot shift test between two groups, between pre- and post-operation; there. were no significant differences (P > 0.05) in Daniel's one-leg hop test, the IKDC, Lysholm, and Tegner activity scores between two groups, however, there was a decreased trend in the functional and activity levels in group B. And there was significant difference between pre- and post-operation (P < 0.05). At the final follow-up, the differences between normal side and affected side were (2.4 +/- 0.6) mm in group A and (5.5 +/- 3.6) mm in group B, showing significant difference (P < 0.05). There was significant difference in tibial advancement between pre- and post-operation (P < 0.05). CONCLUSION: The functional and activity level of the knee after ACL reconstruction with autograft and gamma irradiated patellar tendon allograft were similar, but anterior and rotational stability of the involved knee decreases significantly in the group with gamma irradiated patellar tendon allograft.",2010,Chinese,Zhongguo Xiu Fu Chong Jian Wai Ke Za Zhi,pubmed,,,20369525.0,https://pubmed.ncbi.nlm.nih.gov/20369525/,Tian+aprospectivestudyonanteriorcruciateligamentreconstructionwit+2010,aprospectivestudyonanteriorcruciateligamentreconstructionwit+2010
587,209,210,Kasl (2022),HT,"Kasl J, Zeman P, Pavelka T, Cibulková J, Pilný J, Matějka J",Kasl,[Clinical Outcomes of the Application of Platelet-Rich Fibrin during Anatomic Anterior Cruciate Ligament Reconstruction: Results of Prospective Randomised Study].,clinicaloutcomesoftheapplicationofplateletrichfibrinduringan,"PURPOSE OF THE STUDY It was a prospective, randomised, unblinded study. Effects of the application of platelet-rich fibrin (PRF) on the anatomic anterior ligament reconstruction were examined. MATERIAL AND METHODS A total of 40 patients who underwent a surgery between 2012 and 2014 were enrolled in the study. The patients were randomised into two groups: the group with PRF application (n=20) and the group without PRF application (n=20, control group). The study included 11 women and 29 men, with the mean age at the time of inclusion into the study 29.1 years. Vivostat (R) PRF was obtained perioperatively from the patient s blood and applied intraoperatively to the hamstring tendon graft. The ACL graft healing was assessed through magnetic resonance (MRI) at 6 and 12 months postoperatively. The clinical outcomes (the Lysholm score and the IKDC Subjective score, return to pre-injury sport levels, Pivot-shift test, graft failure) as well as standardised laxity measurements using GenouRob arthrometer were performed preoperatively and 12 months after surgery. RESULTS The study was completed by thirty-three (33) patients (17 in the PRF group and 16 in the control group). In two cases, postoperative graft failure was reported (both cases in the control group). No significant differences were found in the process of graft ligamentization evaluated through MRI (p=0.07). No significant difference between the groups was identified with respect to return to pre-injury sport levels (p=0.232), or the Lysholm score and IKDC Subjective score (p=0.259, and p=0.364 respectively). The postoperative knee laxity measurement using Genourob arthrometer did not reveal any significant differences between the PRF group and the control group. DISCUSSION Results similar to those arrived at by our study have recently been published also by other authors worldwide. We can therefore assume that the application of PRF can be of benefit, especially at the early stage of healing. The results still need to be verified on a larger study group, the study design should focus on the development in the early postoperative period. CONCLUSIONS In our study group, no significant difference was observed in the evaluated subjective and objective clinical parameters. Only the parameter regarding the ACL graft failure fell just short of statistical significance, namely to the disadvantage of the group without the PRF application. Key words: anterior cruciate ligament, arthroscopy, anatomic ACL reconstruction, magnetic resonance imaging of the graft, platelet-rich fibrin, graft healing, MRI signal intensity of the graft.",2022,Czech,Acta Chir Orthop Traumatol Cech,pubmed,,,36055668.0,https://pubmed.ncbi.nlm.nih.gov/36055668/,Kasl+clinicaloutcomesoftheapplicationofplateletrichfibrinduringan+2022,clinicaloutcomesoftheapplicationofplateletrichfibrinduringan+2022
591,319,320,Liu (2008),HT,"Liu HG, Chen SX, Zhao CD, Ding LJ, Situ J",Liu,[Comparative study on reconstruction of anterior cruciate ligaments with allografts and hamstring tendon under arthroscopy].,comparativestudyonreconstructionofanteriorcruciateligamentsw,"OBJECTIVE: To evaluate the effect of reconstruction of anterior cruciate ligaments (ACL) with allogeneic tendon or autologous hamstring tendon under arthroscopy. METHODS: Thirty-two cases of ACL injury (3 cases compound with PCL injury) were reviewed. All the patients were divided into two groups randomly. Fifteen cases were reconstructed with hamstring tendon, including 12 male and 3 female with the age ranging from 23 to 61 years. Seventeen cases were reconstructed with allograft, including 11 male and 6 female with the age ranging from 17 to 57 years. The tendons were fixed with absorbable or Ti screws. All patients were recorded symptoms,physical signs and Lysholm Scores two weeks after operation,and functional rehabilitation of knee six months after operation. RESULTS: All cases were followed up from 6 to 8 months. Pain and clinical symptoms disappeared and the function of knee joint was improved in all patients. Five patients of allograft with positive Lachman test result,one with severe graft rejection was found complete absorption of allograft under arthroscopy. No significant differences were seen in Lysholm Score between the two groups,average (88.5 +/- 7.2), (93.2 +/- 8.5) after operation (P > 0.05). CONCLUSION: The effects of reconstruction of cruciate ligaments with allogeneic tendon or autologous hamstring tendon under arthroscopy are more satisfying. But there are more symptoms and obvious individual differences in the earlier stage of rehabilitation. So reconstruction of cruciate ligaments under arthroscopy using autologous hamstring tendon should be performed as far as possible.",2008,Chinese,Zhongguo Gu Shang,pubmed,,,19102185.0,https://pubmed.ncbi.nlm.nih.gov/19102185/,Liu+comparativestudyonreconstructionofanteriorcruciateligamentsw+2008,comparativestudyonreconstructionofanteriorcruciateligamentsw+2008
592,334,335,Musil (2007),HT,"Musil D, Sadovský P, Stehlík J",Musil,[Intra-articular analgesia after anterior cruciate ligament reconstruction].,intraarticularanalgesiaafteranteriorcruciateligamentreconstr,"PURPOSE OF THE STUDY: In this double-blind prospective study, pain after reconstruction of the anterior cruciate ligament (ACL) was evaluated using the visual analogue scale (VAS). Comparisons were made between patients administered an intra-articular analgesic mixture of adrenaline, morphine and bupivacaine (Marcaine) and those without it, between patients surgically treated by the BTB technique and those undergoing hamstring tendon ACL reconstruction, and between men and women undergoing the same procedure. MATERIAL: Eighty-five randomly selected patients were allocated by five groups according to the surgery performed: 1. ACL reconstruction by the BTB technique, without administration of the analgesic mixture (20 patients); 2. hamstring tendon ACL reconstruction, without the analgesic mixture (20 patients); 3. ACL BTB technique with intra-operative, intra-articular analgesia (20 patients); 4. hamstring tendon ACL reconstruction, with intra-operative, intra-articular analgesia (20 patients), 5. ACL reconstruction using a cadaver graft, without intra-operative analgesia (5 patients). METHODS: ACL reconstruction was carried out, in tourniquet-induced ischemia, by one of the standard techniques mentioned above. An analgesic mixture of adrenaline (1 ml/1 mg), morphine (1 ml/10 mg) and Marcaine (0.5 %/20 ml) was administered into the joint under arthroscopic control before the procedure was terminated. In all cases, the drain was released at 30 min. after the end of surgery. The limb was immobilized in a brace and the joint was cooled with ice. When requested, intramuscular analgesics (Dolmina and Dipidolor) were given.VAS pain scores were recorded at 30 min, 1, 2, 4, 8, 12 and 24 h after surgery. The range was from 0 (no pain) to 10 (maximum pain) scores. In addition, the amount of intramuscular analgesics and the time of their administration after surgery were noted. RESULTS: VAS pain scores were lowest in the patients with ACL reconstruction by cadaver BTB grafting, the highest scores were reported by the patients with autologous BTB graft reconstruction. Women perceived the operation as more painful than men. When the intra-operative analgesic mixture was used, the amount of post-operative opiate analgesics was reduced by 29 % and 46 % in group 3 and group 4 patients, respectively, and in group 3 its administration was postponed (first administration after an interval 1.7-times longer than in group 4). The number of patients not requiring any opiate drugs increased markedly in both these groups. Intra-operative analgesia resulted in only a slight decrease in VAS pain scores, more in group 3 than group 4. DISCUSSION: Several analgesics are used for intra-articular administration in order to alleviate post-operative pain. The most frequently used drugs include bupivacaine, morphine or epinephrine, but their mixtures are more effective than any of the drug administered alone. The most apparent evidence of the effect was the reduced amount of opiate drugs required after surgery, which was significant in all patients treated with intra-articular analgesia (groups 3 and 4) and particularly in men. However, VAS pain scores in the two groups decreased only slightly. Since maximum pain is experienced at the graft donor site, the effect of the evaluated mixture is regarded as complementary and multi-modal analgesic therapy is recommended. CONCLUSIONS: The use of intra-articular analgesia has a significant effect on the reduction of opiate amounts administered to patients during the 24-hour post-operative period after ACL reconstruction, regardless of the surgical technique used. These patients also reported slightly lower perception of pain, as assessed by the VAS pain score. The effect was higher in men than in women.",2007,Czech,Acta Chir Orthop Traumatol Cech,pubmed,,,17623606.0,https://pubmed.ncbi.nlm.nih.gov/17623606/,Musil+intraarticularanalgesiaafteranteriorcruciateligamentreconstr+2007,intraarticularanalgesiaafteranteriorcruciateligamentreconstr+2007
594,391,392,Goertzen (1994),HT,"Goertzen M, Schulitz KP",Goertzen,[Isolated intraarticular plasty of the semitendinosus or combined intra- and extra-articular plasty in chronic anterior laxity of the knee].,isolatedintraarticularplastyofthesemitendinosusorcombinedint,"MATERIAL AND METHODS: In a prospective study we examined 32 athletes with arthroscopic implantation of a double loop of semitendinosus tendon for intra-articular anterior cruciate ligament reconstruction combined with an iliotibial band tenodesis for extra-articular augmentation. They were compared to 26 athletes operated by isolated intra-articular semitendinosus reconstruction. RESULTS: The Lysholm-Score, clinical and radiological findings, KT-1000 stability values and isokinetic tests were evaluated monthly over a year. The data suggests that while both procedures under standardized rehabilitation conditions may obtain excellent functional results, adding the iliotibial band tenodesis to an intra-articular reconstruction significantly improves stability and muscular strength. Patients were able to resume all activities without a pivot shift following combined intra- and extra-articular stabilization.",1994,French,Rev Chir Orthop Reparatrice Appar Mot,pubmed,,,7899626.0,https://pubmed.ncbi.nlm.nih.gov/7899626/,Goertzen+isolatedintraarticularplastyofthesemitendinosusorcombinedint+1994,isolatedintraarticularplastyofthesemitendinosusorcombinedint+1994
598,538,539,Franceschi (1999),QT,"Franceschi JP, Rochwerger A, Benezet P, Bataille JF, Viton JM, Groulier P",Franceschi,[Isokinetic comparative study at the third postoperative month after surgery of the anterior cruciate ligament with arthroscopy or after mini-arthrotomy].,isokineticcomparativestudyatthethirdpostoperativemonthafters,"PURPOSE: A double blind prospective study was performed in 64 patients with a clinical and isokinetic assessment three months after anterior cruciate ligament (A.C.L.) reconstruction. MATERIAL AND METHODS: This work included 64 patients (47 males and 17 females), divided in two groups: 41 patients had an arthroscopically assisted bone-tendon-bone A.C.L. reconstruction, 17 had an open procedure. The isokinetic records concerned peak torque and muscular work at two different speeds. RESULTS: Three months after surgery there was no significant difference between both groups particularly what concerns the isokinetic assessment in muscular performances. Peak torque in hamstring averaged 151.4 Nm in the open procedure group and 149.2 Nm in the arthroscopically assisted group (p = 0.7), in quadriceps 156.10 Nm vs 149.3 Nm (p = 0.47). DISCUSSION: The advantages of arthroscopy in early muscular recovery are rarely admitted in medical literature. CONCLUSIONS: The favorable opinion of the authors to the arthroscopically assisted A.C.L. reconstruction concerning its rapid muscular recovery abilities is only based on subjective criterions.",1999,French,Rev Chir Orthop Reparatrice Appar Mot,pubmed,,,10612135.0,https://pubmed.ncbi.nlm.nih.gov/10612135/,Franceschi+isokineticcomparativestudyatthethirdpostoperativemonthafters+1999,isokineticcomparativestudyatthethirdpostoperativemonthafters+1999
602,1320,431,Zeman (2018),HT,"Zeman P, Kautzner J, Havel O, Matejka J, Pavelka T, Havlas V",Zeman,Anatomical All-Inside Anterior Cruciate Ligament Reconstruction Using Quadrupled Semitendinosus Tendon Graft with Posteromedial Harvest - Clinical Results of Prospective Study at a Minimum 12-Months Follow-up,anatomicalallinsideanteriorcruciateligamentreconstructionusi,"PURPOSE OF THE STUDY This original paper aims to present the conclusions of the prospective study evaluating the clinical results of anatomical all-inside ACL reconstruction using quadrupled semitendinosus tendon graft with posteromedial harvest using suspensory fixation by Tightrope implants at the follow-up of at least 12 months. MATERIAL AND METHODS The prospective study included a total of 119 patients (74 men/39 women) with the mean age of 28.3 (18-52) years, in whom demographic data was collected and a clinical examination was performed. The patients satisfying the ""inclusion"" and ""exclusion"" criteria were enrolled in the study and subsequently underwent the same, aforementioned surgical procedure performed by a single surgeon. Preoperatively and at a minimum 12-month follow-up the following subjective criteria were evaluated using the Lysholm and IKDC subjective scores and the Visual Analogue Scale (VAS) (0-10). The objective parameters comprised the side-to-side difference in anterior knee laxity assessed by Genourob arthrometer with an applied pressure of 134 and 250 N, anterior drawer test, and the pivot shift test. The occurrence of graft failure, complications and return to pre-injury sport levels were monitored. The obtained data was statistically evaluated at the statistical significance level of 0.05. RESULTS A total of 89 patients were assessed at the follow-up of at least 12 months after the surgery. The median Lysholm score increased over time from 58.7 preoperatively to 94.2 postoperatively (p < 0.05) and the IKDC subjective score went up from 46.3 to 91.4 (p < 0.05). The median postoperative VAS kept decreasing from 7.3 (Day 2), 5.1 (Day 14), 3.1 (Week 6), 1.2 (Month 6) to 0.3 at 12 months after the surgical procedure. Preoperatively, the results were significantly positive (i.e. C, D) in 52.8% (C) and 21.4% (D), whereas postoperatively the results of the PST were significantly positive only in 4%. Therefore, the surgical procedure was conducive to a statistically significant decrease in rotational knee laxity over time (p < 0.05). The median side-to-side difference in anterior laxity of the operated knee objectively assessed by GNRB arthrometer with the applied pressure of 134 N was 4.2 mm (3.1-6.8) as against the postoperative 1.2 mm (0.4-2.1) and with the applied pressure of 250 N it was 6.2 mm (4.6-8.7) prior to the surgical procedure versus 2.4 mm (1.6-3.5) postoperatively. That concerned a statistically significant decrease of postoperative side-to-side difference in anterior laxity of the operated knee at both the measured pressures (p < 0.05).The graft failed in 3 patients only (3.4%), no major complications associated with the surgical procedure were observed and 62 of the evaluated patients (69.6%) were able to return to the pre-injury level of sport within one year after the surgery. DISCUSSION When comparing the results obtained by our study with the conclusions of clinical studies carried out by other authors and evaluating similar clinical parameters with the identical surgical technique applied, it is obvious that in our group of patients we achieved similar clinical results as the other authors from abroad. CONCLUSIONS The results of our study showed that the all-inside ACL anatomical reconstruction using quadrupled semitendinosus tendon graft with posteromedial harvest with suspensory fixation by Tightrope implants at one year after the surgery bring very good subjective as well as objective clinical results and minimum complications.",2018,Czech,ACTA CHIR ORTHOP TR,wos,,,30295594.0,https://pubmed.ncbi.nlm.nih.gov/30295594/,Zeman+anatomicalallinsideanteriorcruciateligamentreconstructionusi+2018,anatomicalallinsideanteriorcruciateligamentreconstructionusi+2018
