,id,Unnamed: 0,pmid,date,epubdate,journal_abbr,authors,last_author,title,volume,issue,pages,language,nlmuniqueid,issn,essn,study_design,recordstatus,pubstatus,ArticleIds,doi,history,references,hasabstract,pmcrefcount,journal_full,elocationid,so,abstract,year,source,subgroup
38,39,38,25192689,2015 Mar,2014 Sep 6,Int Orthop,"['Papalia R', 'Franceschi F', 'Tecame A', ""D'Adamio S"", 'Maffulli N', 'Denaro V']",Denaro V,Anterior cruciate ligament reconstruction and return to sport activity: postural control as the key to success.,39,3,527-34,['English'],7705431,0341-2695,1432-5195,"['Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish+epublish,"['25192689', '10.1007/s00264-014-2513-9']",10.1007/s00264-014-2513-9,"['2014/08/03 00:00', '2014/08/14 00:00', '2014/09/07 06:00', '2014/09/07 06:00', '2016/02/16 06:00']",[],1,0,International orthopaedics,doi: 10.1007/s00264-014-2513-9,2015 Mar;39(3):527-34,"PURPOSE: The risk for re-tear following anterior cruciate ligament (ACL) reconstruction is influenced by several hormonal, neuromuscular, biomechanical and anatomic factors. One of the most important negative prognostic factors that markedly increase the risk for ACL re-tear is the presence of high knee-abduction moment (KAM), which can be measured immediately by landing on both feet after a vertical jump. We evaluated the effect in postoperative values for KAM according to the type of graft used for ACL reconstruction (hamstring vs patellar tendon) and a specific rehabilitation protocol focusing on recovery of muscular strength, proprioception and joint stabilisation. METHODS: From November 2010 to September 2012, we enrolled 40 female recreational athletes with clinical and imaging evidence of ACL tear and randomised them in two groups. One group of patients underwent reconstruction with a hamstring-tendon graft and the second with a patellar-tendon graft. A custom rehabilitation programme focusing on proprioception was adopted. Clinical outcomes [International Knee Documentation Committee (IKDC) and Lysholm scores] and performance in functional test for stability (single-leg hop, timed hop, crossover triple hop, KAM test) were assessed preoperatively at three and six months postoperatively. RESULTS: All patients showed statistically significant clinical improvements postoperatively when compared with preoperative values (P < 0.0001). No significant intergroup difference was observed in all clinical scores and functional tests, with the exception of the value registered for the KAM test (P < 0.0001). CONCLUSIONS: ACL reconstruction using patellar-tendon graft followed by rehabilitation centred on strength, proprioception and stability restoration can produce satisfactory values for KAM within the physiological range. The surgical strategies should be adapted to the patient on the basis of a multidisciplinary approach.",2015,pubmed,bptb
39,40,39,25128968,2015 Jan,2014 Aug 17,Int Orthop,"['Kautzner J', 'Kos P', 'Hanus M', 'Trc T', 'Havlas V']",Havlas V,A comparison of ACL reconstruction using patellar tendon versus hamstring autograft in female patients: a prospective randomised study.,39,1,125-30,['English'],7705431,0341-2695,1432-5195,"['Journal Article', 'Randomized Controlled Trial', ""Research Support, Non-U.S. Gov't""]",PubMed - indexed for MEDLINE,ppublish+epublish,"['25128968', '10.1007/s00264-014-2495-7']",10.1007/s00264-014-2495-7,"['2014/05/21 00:00', '2014/07/17 00:00', '2014/08/18 06:00', '2014/08/19 06:00', '2016/01/29 06:00']",[],1,0,International orthopaedics,doi: 10.1007/s00264-014-2495-7,2015 Jan;39(1):125-30,"PURPOSE: The incidence of an anterior cruciate ligament (ACL) tear is highest in female patients; however, it is not apparent whether graft choice affects clinical results. The aim of this prospective randomised study was to evaluate clinical results of an ACL reconstruction using patellar tendon [bone-patellar tendon-bone (BTB)] or hamstring graft (HS) in female patients. METHODS: Inclusion criteria were traumatic instability, no signs of osteoarthritis, no previous instability and no contralateral knee instability. Inclusion criteria were met in 150 patients, mean age 26 (17-47) years. Patients were randomised into two groups of 75 patients according to graft type; all had the same rehabilitation protocol. Tegner Lysholm knee score and stability were evaluated pre-operatively and one and two years postoperatively. The difference between groups was statistically evaluated using unpaired t test. RESULTS: Of the 150 patients, all completed one year follow-up; three were lost to follow-up at two years. There was no significant difference in functional scores and knee stability between groups. The HS group had significantly less anterior knee pain in the first six months postoperatively. CONCLUSION: ACL reconstruction significantly improves clinical results and stability of the knee. Difference in Lysholm score and stability between groups was not significant. Neither group showed higher tendency to graft failure within two years. Graft choice for reconstruction in female patients should be surgeon specific and individualised, as both grafts studied achieved comparable results.",2015,pubmed,bptb
40,41,40,24825597,2014 Jul,2014 May 14,Wien Klin Wochenschr,"['Leitgeb J', 'Köttstorfer J', 'Schuster R', 'Kovar FM', 'Platzer P', 'Aldrian S']",Aldrian S,Primary anterior cruciate ligament reconstruction in athletes: a 5-year follow up comparing patellar tendon versus hamstring tendon autograft.,126,13-14,397-402,['English'],21620870R,0043-5325,1613-7671,"['Comparative Study', 'Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish+epublish,"['24825597', '10.1007/s00508-014-0550-4']",10.1007/s00508-014-0550-4,"['2014/01/16 00:00', '2014/04/13 00:00', '2014/05/15 06:00', '2014/05/16 06:00', '2015/12/15 06:00']",['Wien Klin Wochenschr. 2014 Jul;126(13-14):455'],1,0,Wiener klinische Wochenschrift,doi: 10.1007/s00508-014-0550-4,2014 Jul;126(13-14):397-402,"INTRODUCTION: ACL reconstruction with quadruple hamstring graft (HT) as well as bone-patellar tendon-bone autograft (PT) is a frequent procedure in athletes after ACL rupture. Both techniques are reported to provide for satisfying results but only few articles compare both techniques. MATERIAL AND METHODS: Prospective evaluation was performed on 96 patients with isolated ACL rupture undergoing reconstruction with a HT or PT autograft by a single surgeon at our institution. Long time follow-up after five years included the IKDC and KOOS evaluation form as well as clinical assessment (ROM, Lachmann testing, KT-2000). RESULTS: Comparing both methods revealed no significant differences regarding IKDC and KOOS. The KT-2000 arthrometer testing showed a slightly increased mean laxity in the HT group. There were no differences regarding harvest side symptoms comparing HT and PT as well as one and two incision technique. Kneeling pain was significantly less common after HT autograft. HT as well as PT autograft achieve equally good clinical results in athletes at five year follow-up with no significant difference regarding knee stability. Although no difference concerning the harvest site was identified, HT seems to be favorable for patients who work in a kneeling position.",2014,pubmed,bptb
41,42,41,24644301,2014 May,2014 Mar 18,Am J Sports Med,"['Barenius B', 'Ponzer S', 'Shalabi A', 'Bujak R', 'Norlén L', 'Eriksson K']",Eriksson K,Increased risk of osteoarthritis after anterior cruciate ligament reconstruction: a 14-year follow-up study of a randomized controlled trial.,42,5,1049-57,['English'],7609541,0363-5465,1552-3365,"['Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish+epublish,"['24644301', '10.1177/0363546514526139', '0363546514526139']",10.1177/0363546514526139,"['2014/03/20 06:00', '2014/03/20 06:00', '2014/11/05 06:00']",[],1,0,The American journal of sports medicine,doi: 10.1177/0363546514526139,2014 May;42(5):1049-57,"BACKGROUND: The reported prevalence of radiological osteoarthritis (OA) after anterior cruciate ligament (ACL) reconstruction varies from 10% to 90%. Purpose/ HYPOTHESIS: To report the prevalence of OA after ACL reconstruction and to compare the OA prevalence between quadrupled semitendinosus tendon (ST) and bone-patellar tendon-bone (BPTB) grafts. The hypothesis was that there would be no difference in OA prevalence between the graft types. The secondary aim was to study whether patient characteristics and additional injuries were associated with long-term outcomes. STUDY DESIGN: Randomized controlled trial; Level of evidence, 1. METHODS: Radiological examination results, Tegner activity levels, and Knee injury and Osteoarthritis Outcome Score (KOOS) values were determined in 135 (82%) of 164 patients at a mean of 14 years after ACL reconstruction randomized to an ST or a BPTB graft. Osteoarthritis was defined according to a consensus by at least 2 of 3 radiologists of Kellgren-Lawrence grade >/=2. Using regression analysis, graft type, sex, age, overweight, time between injury and reconstruction, additional meniscus injury, and a number of other variables were assessed as risk factors for OA 14 years after ACL reconstruction. RESULTS: Osteoarthritis of the medial compartment was most frequent, with 57% of OA cases in the ACL-reconstructed knee and 18% of OA cases in the contralateral knee (P < .001). There was no difference between the graft types: 49% of OA of the medial compartment for BPTB grafts and 65% for ST grafts (P = .073). The KOOS results were lower for patients with OA in all subscales, indicating that OA was symptomatic. No difference in the KOOS between the graft types was found. Meniscus resection was a strong risk factor for OA of the medial compartment (odds ratio, 3.6; 95% CI, 1.4-9.3) in the multivariable logistic regression analysis. CONCLUSION: A 3-fold increased prevalence of OA was found after an ACL injury treated with reconstruction compared with the contralateral healthy knee. No differences in the prevalence of OA between the BPTB and quadrupled ST reconstructions were found. An initial meniscus resection was a strong risk factor for OA; the time between injury and reconstruction was not.",2014,pubmed,bptb
42,43,42,24630956,2014 May,2014 Mar 14,Arthroscopy,"['Lund B', 'Nielsen T', 'Faunø P', 'Christiansen SE', 'Lind M']",Lind M,Is quadriceps tendon a better graft choice than patellar tendon? a prospective randomized study.,30,5,593-8,['English'],8506498,0749-8063,1526-3231,"['Clinical Trial, Phase II', 'Comparative Study', 'Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish+epublish,"['24630956', '10.1016/j.arthro.2014.01.012', 'S0749-8063(14)00076-0']",10.1016/j.arthro.2014.01.012,"['2013/04/24 00:00', '2014/01/18 00:00', '2014/01/23 00:00', '2014/03/18 06:00', '2014/03/19 06:00', '2014/06/06 06:00']",[],1,0,Arthroscopy : the journal of arthroscopic & related surgery : official publication of the Arthroscopy Association of North America and the International Arthroscopy Association,doi: 10.1016/j.arthro.2014.01.012,2014 May;30(5):593-8,"PURPOSE: The purpose of this randomized controlled study was to compare knee stability, kneeling pain, harvest site pain, sensitivity loss, and subjective clinical outcome after primary anterior cruciate ligament (ACL) reconstruction with either bone-patellar tendon-bone (BPTB) or quadriceps tendon-bone (QTB) autografts in a noninferiority study design. METHODS: From 2005 to 2009, a total of 51 patients were included in the present study. Inclusion criteria were isolated ACL injuries in adults. Twenty-five patients were randomized to BPTB grafts and 26 to QTB grafts. An independent examiner performed follow-up evaluations 1 and 2 years postoperatively. Anteroposterior knee laxity was measured with a KT-1000 arthrometer (MEDmetric, San Diego, CA). Anterior knee pain was assessed clinically and by knee-walking ability. Knee Injury and Osteoarthritis Outcome Score (KOOS) and subjective International Knee Documentation Committee (IKDC) score were used for patient-evaluated outcome. RESULTS: Anterior knee laxity was equal between the 2 groups with KT-1000 values of 1.1 +/- 1.4 mm and 0.8 +/- 1.7 mm standard deviation (SD) at follow-up in QTB and BPTB groups, respectively (P = .65), whereas positive pivot shift test results were seen less frequently (14% compared with 38%, respectively; P = .03). Anterior kneeling pain, evaluated by the knee walking ability test, was significantly less in the QTB group, with only 7% of patients grading knee walking as difficult or impossible compared with 34% in the BPTB group. At 1 and 2 years' follow-up, there was no difference between the 2 groups in subjective patient-evaluated outcome. The IKDC score was 75 +/- 13 patients and 76 +/- 16 SD at 1-year follow-up in QTB and BPTB groups, respectively (P = .78). At 2 years, 12 patients were lost to follow-up, resulting in 18 in the BPTB group and 21 in the QTB group. CONCLUSIONS: The use of the QTB graft results in less kneeling pain, graft site pain, and sensitivity loss than seen with BPTB grafts; however, similar anterior knee stability and subjective outcomes are seen. The results of this study show that QTB is a viable option for ACL reconstruction. LEVEL OF EVIDENCE: Level II, randomized controlled clinical trial.",2014,pubmed,bptb
43,44,43,24488793,2014 Dec,2014 Jan 31,J Knee Surg,"['Koyonos L', 'Owsley K', 'Vollmer E', 'Limpisvasti O', 'Gambardella R']",Gambardella R,Preoperative cryotherapy use in anterior cruciate ligament reconstruction.,27,6,479-84,['English'],101137599,1538-8506,1938-2480,"['Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish+epublish,"['24488793', '10.1055/s-0034-1367730']",10.1055/s-0034-1367730,"['2014/02/04 06:00', '2014/02/04 06:00', '2015/07/24 06:00']",[],1,0,The journal of knee surgery,doi: 10.1055/s-0034-1367730,2014 Dec;27(6):479-84,"Unrelieved postoperative pain may impair rehabilitation, compromise functional outcomes, and lead to patient dissatisfaction. Preemptive multimodal analgesic techniques may improve outcomes after surgery. We hypothesized that patients using preoperative cryotherapy plus a standardized postoperative treatment plan will have lower pain scores and require less pain medication compared with patients receiving a standardized postoperative treatment plan alone after arthroscopically assisted anterior cruciate ligament reconstruction (ACLR). A total of 53 consecutive patients undergoing arthroscopically assisted ACLR performed by one of seven surgeons were randomly assigned to one of two groups. Group 1 received no preoperative cryotherapy and group 2 received 30 to 90 minutes of preoperative cryotherapy to the operative leg using a commercial noncompressive cryotherapy unit. Visual analog scale pain scores and narcotic use were recorded for the first 4 days postoperatively. Total hours of cold therapy and continuous passive motion (CPM) use and highest degree of flexion achieved were recorded as well. Group 1 consisted of 26 patients (15 allograft Achilles tendon and 11 autograft bone patellar tendon bone [BPTB]), and group 2 consisted of 27 patients (16 allograft Achilles tendon and 11 autograft BPTB). Group 2 patients reported less pain (average 1.3 units, p < 0.02) and used less narcotic use (average 1.7 tablets, p < 0.02) for the first 36 hours compared with group 1. No statistically significant differences were identified between the two groups with regard to demographics, hours of postoperative cryotherapy, hours of CPM use, or maximum knee flexion achieved. Complications did not occur in either group. This is the first report we are aware of showing the postoperative effects of preoperative cryotherapy. Our results support the safety and efficacy of preoperative cryotherapy in a multimodal pain regimen for patients undergoing ACL reconstruction.",2014,pubmed,bptb
44,45,44,24001575,2013 Nov,2013 Sep 3,Am J Sports Med,"['McRae S', 'Leiter J', 'McCormack R', 'Old J', 'MacDonald P']",MacDonald P,Ipsilateral versus contralateral hamstring grafts in anterior cruciate ligament reconstruction: a prospective randomized trial.,41,11,2492-9,['English'],7609541,0363-5465,1552-3365,"['Comparative Study', 'Journal Article', 'Multicenter Study', 'Randomized Controlled Trial', ""Research Support, Non-U.S. Gov't""]",PubMed - indexed for MEDLINE,ppublish+epublish,"['24001575', '10.1177/0363546513499140', '0363546513499140']",10.1177/0363546513499140,"['2013/09/05 06:00', '2013/09/05 06:00', '2014/06/24 06:00']",[],1,0,The American journal of sports medicine,doi: 10.1177/0363546513499140,2013 Nov;41(11):2492-9,"BACKGROUND: Benefits of graft harvest from the side contralateral to the anterior cruciate ligament (ACL)-deficient leg have been identified when using bone-patellar tendon-bone autografts in ACL reconstruction (ACLR). As hamstring tendon autografts are becoming more commonly used, a study examining the effect of contralateral graft harvest of semitendinosus gracilis (STG) tendons on patient quality of life was conducted. PURPOSE: To evaluate if ACLR using a hamstring tendon autograft results in better patient quality of life if the graft is harvested from the leg contralateral to the ACL rupture compared with the ipsilateral leg. STUDY DESIGN: Randomized controlled trial; Level of evidence, 1. METHODS: A total of 100 participants between 16 and 50 years of age with a complete ACL tear were randomly assigned to undergo ACLR using either the ipsilateral or contralateral leg as the STG graft donor. Primary outcome measures were the ACL Quality of Life questionnaire (ACL-QOL), concentric knee flexion and extension strength at 60 and 240 deg/s, International Knee Documentation Committee (IKDC) knee assessment form, early postoperative pain and diary of analgesic use, and rate of reruptures. Outcome measures were evaluated before surgery and at 3, 6, 12, and 24 months after surgery. RESULTS: The ACL-QOL score improved over time for both groups (P < .001), and there were no significant differences between groups at any time point (P = .528). Significant differences in knee flexion and extension strength were found at 3 months after surgery. There were no differences between groups in IKDC knee assessment scores or rerupture rates. CONCLUSION: There does not appear to be any measurable benefit or drawback in quality of life to the use of an STG graft from the unaffected limb. In light of this finding, further research to examine other possible effects on agility and balance as well as time and ability to return to sport should be conducted. Longer term follow-up beyond 2 years would allow for a more thorough evaluation of the risk of reruptures or contralateral reruptures using this novel approach.",2013,pubmed,bptb
45,46,45,23996068,2014 Sep,2013 Aug 31,Knee Surg Sports Traumatol Arthrosc,"['Peterson L', 'Eklund U', 'Engström B', 'Forssblad M', 'Saartok T', 'Valentin A']",Valentin A,Long-term results of a randomized study on anterior cruciate ligament reconstruction with or without a synthetic degradable augmentation device to support the autograft.,22,9,2109-20,['English'],9314730,0942-2056,1433-7347,"['Comparative Study', 'Journal Article', 'Multicenter Study', 'Randomized Controlled Trial', ""Research Support, Non-U.S. Gov't""]",PubMed - indexed for MEDLINE,ppublish+epublish,"['23996068', '10.1007/s00167-013-2636-3']",10.1007/s00167-013-2636-3,"['2012/12/17 00:00', '2013/08/18 00:00', '2013/09/03 06:00', '2013/09/03 06:00', '2015/04/01 06:00']",[],1,0,"Knee surgery, sports traumatology, arthroscopy : official journal of the ESSKA",doi: 10.1007/s00167-013-2636-3,2014 Sep;22(9):2109-20,"PURPOSE: The aim was to compare the outcome of anterior cruciate ligament (ACL) reconstruction with bone-patellar tendon-bone (BPTB) autograft, with and without a poly(urethane urea) augmentation device. METHODS: Patients were randomized to BPTB reconstruction with a synthetic degradable augmentation device (n = 96) or without augmentation (n = 105). Follow-ups were made during 4 years after surgical treatment with the KT1000 arthrometer for objective evaluation of sagittal stability. The Tegner scoring system for assessment of physical activity level and the Knee injury Osteoarthritis Outcome Score (KOOS) for assessment of knee-specific health were evaluated after 4 and 12 years. RESULTS: KT1000 tests showed a significant decrease in mean manual maximum side-to-side difference after 4 years in both patients with and those without augmentation, without any statistical difference between the groups (n.s.). Pre-injury, 76 and 80% of the patients, respectively, reported Tegner level 7-10. Pre-surgery, the corresponding figures were 6 and 5%, and at 4 years, 33 and 30 %. Twelve years after ACL reconstruction, both groups had significantly higher KOOS scores in function in sports and recreational activities (p < 0.001) and knee-related quality of life (p < 0.001) compared to before surgical treatment. In 10 patients, the augmentation device was removed, in six of these because of insufficient screw fixation to femur and in four due to swelling/hydrops. CONCLUSION: This study showed no significant difference in clinical outcome with use of an additional synthetic augmentation device in a single-bundle BPTB ACL reconstruction compared with non-augmentation, in short, intermediate, or long-term perspective. LEVEL OF EVIDENCE: Therapeutic study, Level I.",2014,pubmed,bptb
46,47,46,23974633,2014 Sep,2013 Aug 24,Knee Surg Sports Traumatol Arthrosc,"['Stensbirk F', 'Thorborg K', 'Konradsen L', 'Jørgensen U', 'Hölmich P']",Hölmich P,"Iliotibial band autograft versus bone-patella-tendon-bone autograft, a possible alternative for ACL reconstruction: a 15-year prospective randomized controlled trial.",22,9,2094-101,['English'],9314730,0942-2056,1433-7347,"['Comparative Study', 'Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish+epublish,"['23974633', '10.1007/s00167-013-2630-9']",10.1007/s00167-013-2630-9,"['2013/01/07 00:00', '2013/08/18 00:00', '2013/08/27 06:00', '2013/08/27 06:00', '2015/04/01 06:00']",[],1,0,"Knee surgery, sports traumatology, arthroscopy : official journal of the ESSKA",doi: 10.1007/s00167-013-2630-9,2014 Sep;22(9):2094-101,"PURPOSE: The long-term results after using the iliotibial band autograft (ITB) in anterior cruciate ligament (ACL) reconstruction are not fully known. If equal in quality to conventional methods, the ITB graft could be a useful alternative as a primary graft, in revision surgery or multi-ligament reconstruction. The purpose is to assess whether the ITB autograft is a long-term reliable alternative to the bone-patella-tendon-bone (BPTB) autograft, using a prospective randomized controlled trial design. METHODS: From 1995 to 1996, sixty patients scheduled for primary ACL reconstruction were included in a prospective randomized controlled trial. Three senior knee surgeons, experienced in both types of ACL surgery, performed all the operations. A standardized and supervised rehabilitation programme was used for both groups for 6 months. Thirty patients received the ITB reconstruction, and 30 received the BPTB reconstruction. Forty-nine participated at follow-up in 2010 (82%). Primary outcome was the failure rate after ACL reconstruction. Secondary outcomes were knee injury osteoarthritis outcome score (KOOS) [pain, symptoms, Sport/Rec, quality of life (QOL), daily living function], Tegner activity scale, anterior knee pain-score, Lysholm score, Rolimeter laxity, extension deficit, single hop and crossover hop for distance. RESULTS: At 15-year follow-up, no significant difference existed between the groups. Graft failure occurred in 4 ITB subjects (16%) and 3 BPTB subjects (13%). KOOS (Sport/Rec) for the ITB group was 75 and 73 for the BPTB group. The KOOS (QOL) was 72 and 68 for the ITB group and BPTB group, respectively. CONCLUSION: Similar graft failure rates and KOOS were found when comparing ITB- and BPTB-operated individuals, at 15-year follow-up. The ITB graft had equal long-term clinical results compared to the BPTB graft and is recommended as a reliable alternative autograft for ACL reconstruction. LEVEL OF EVIDENCE: Therapeutic studies, Level I.",2014,pubmed,bptb
47,48,47,23864175,2013 Jul 17,,J Bone Joint Surg Am,"['Mohammadi F', 'Salavati M', 'Akhbari B', 'Mazaheri M', 'Mohsen Mir S', 'Etemadi Y']",Etemadi Y,Comparison of functional outcome measures after ACL reconstruction in competitive soccer players: a randomized trial.,95,14,1271-7,['English'],0014030,0021-9355,1535-1386,"['Comparative Study', 'Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish,"['23864175', '10.2106/JBJS.L.00724', '1705134']",10.2106/JBJS.L.00724,"['2013/07/19 06:00', '2013/07/19 06:00', '2013/09/24 06:00']",[],1,0,The Journal of bone and joint surgery. American volume,doi: 10.2106/JBJS.L.00724,2013 Jul 17;95(14):1271-7,"BACKGROUND: The choice of graft for anterior cruciate ligament (ACL) reconstruction remains controversial. Although many outcome studies comparing bone-patellar tendon-bone and semitendinosus and gracilis tendon grafts have been performed, most have not included tests of functional outcomes that challenge the graft. The objective of the current study was to compare the functional performances of soccer players after ACL reconstruction that was performed with either a bone-patellar tendon-bone or a semitendinosus and gracilis tendon graft. METHODS: Forty-two soccer players with unilateral ACL injury were prospectively randomized to a bone-patellar tendon-bone group (BPTB group; twenty-one subjects) or a semitendinosus and gracilis tendon group (STG group; twenty-one subjects) and followed a rehabilitation protocol. At the time of return to sports, the patients were asked to execute strength, hop, and jump tests and the results were compared between the groups. Twenty-one healthy athletes were recruited as the control group to evaluate their performance of the same tests. RESULTS: The limbs with the ACL reconstruction in the STG group had greater values for quadriceps torque as well as on the triple-hop, crossover-hop, and jump-landing test (p < 0.01), but the STG and BPTB groups showed similar results in terms of hamstrings peak torque and the results of two other hop tests (p > 0.05). Moreover, the subjects with ACL reconstruction had significantly lower values with regard to quadriceps and hamstrings peak torques and the results of the hop and jump tests compared with the healthy athletes (p < 0.01). CONCLUSIONS: At the time of return to sports, the STG group had better performance in terms of quadriceps strength and the results of the triple-hop, crossover-hop, and jump-landing tests compared with the BPTB group. Compared with controls, soccer players who had undergone ACL reconstruction had less quadriceps and hamstrings strength and inferior hop performance and jump-landing strategy.",2013,pubmed,bptb
48,49,48,23810648,2014 Jan,2013 Jun 28,Knee,"['Trichine F', 'Alsaati M', 'Chouteau J', 'Moyen B', 'Bouzitouna M', 'Maza R']",Maza R,"Patellar tendon autograft reconstruction of the anterior cruciate ligament with and without lateral plasty in advanced-stage chronic laxity. A clinical, prospective, randomized, single-blind study using passive dynamic X-rays.",21,1,58-65,['English'],9430798,0968-0160,1873-5800,"['Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish+epublish,"['23810648', '10.1016/j.knee.2013.06.001', 'S0968-0160(13)00110-5']",10.1016/j.knee.2013.06.001,"['2012/02/09 00:00', '2013/05/29 00:00', '2013/06/03 00:00', '2013/07/02 06:00', '2013/07/03 06:00', '2014/10/30 06:00']",[],1,0,The Knee,doi: 10.1016/j.knee.2013.06.001,2014 Jan;21(1):58-65,"PURPOSE: A prospective randomized study was performed to assess the influence of extra-articular ilio-tibial band tenodesis on the results of arthroscopic anterior cruciate ligament (ACL) reconstruction in patients with advanced-stage chronic anterior laxity of the knee. METHODS: Preoperatively, the two constituent groups of our series of 120 patients: group 1 (Kenneth Jones) and group 2 (Kenneth Jones+extra-articular ilio-tibial band tenodesis) were strictly comparable with regard to demographic data, activity level, interval between the injury and the operation, and even objective laxity. Through radiological measurements made by passive dynamic X-rays, we studied the evolution of the objective laxity on the two compartments (medial and lateral) of the knee before the surgery and in review. RESULTS: At 2 years follow-up, there was no significant difference between the two groups in terms of the subjective result, sports, and the overall international knee documentation committee score, however, In terms of objective laxity; Gain laxity obtained after surgery on the lateral compartment, was statistically higher in cases of extra-articular associated plasty (+29%), by cons in cases of intra-articular reconstruction alone, the laxity of the lateral compartment was poorly controlled and has continued to evolve despite the plasty of the ACL. CONCLUSION: The indication of an associated extra-articular plasty remains very discussed but we plead for an objective criterion with knowing the importance of preoperative objective laxity especially that of the lateral compartment to decide if it necessary, or not, being associated. LEVEL OF EVIDENCE: Level I, therapeutic prospective randomized trial.",2014,pubmed,bptb
49,50,49,23807029,2014 May,2013 Jun 27,Knee Surg Sports Traumatol Arthrosc,"['Mayr HO', 'Stüeken P', 'Münch EO', 'Wolter M', 'Bernstein A', 'Suedkamp NP', 'Stoehr A']",Stoehr A,Brace or no-brace after ACL graft? Four-year results of a prospective clinical trial.,22,5,1156-62,['English'],9314730,0942-2056,1433-7347,"['Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish+epublish,"['23807029', '10.1007/s00167-013-2564-2']",10.1007/s00167-013-2564-2,"['2012/10/17 00:00', '2013/06/06 00:00', '2013/06/29 06:00', '2013/06/29 06:00', '2014/12/15 06:00']",[],1,0,"Knee surgery, sports traumatology, arthroscopy : official journal of the ESSKA",doi: 10.1007/s00167-013-2564-2,2014 May;22(5):1156-62,"PURPOSE: A controversial discussion is held on using stabilizing knee braces after anterior cruciate ligament (ACL) surgery. The current study investigated the influence of a stabilizing knee brace on results after ACL reconstruction using patellar tendon autografts. METHODS: A prospective randomized study was started including 64 patients divided into two equal groups and treated with or without a stabilizing knee brace for 6 weeks post-operatively. A follow-up examination 4 years after operation comprised IKDC 2000, KT1000 measurement, a visual analogue pain scale (VAS; scores 0-10) and radiographic evaluation. The t test for independent and paired samples and the Pearson's Chi-square test were used for statistical analysis (p < 0.05). The primary endpoint was the difference in IKDC classification. RESULTS: Eighty-one per cent of the patients were examined 4 years post-operatively. IKDC 2000 subjective (brace group 90.5 +/- 8.9, braceless group 93.2 +/- 6.1) and objective results (brace A 30%, B 56%, C 16%; braceless A 32%, B 48%, C 20%) and instrumental measurement of anteroposterior laxity with KT1000 (brace 0.6 +/- 2.4 mm, braceless 1.8 +/- 3.4 mm) showed no significant differences. VAS pain results were significantly better in the braceless group at 1.0 +/- 1.2 versus 1.9 +/- 1.4 under sports activity or heavy physical work (p = 0.015). There were no radiographic differences concerning osteoarthritic findings and tunnel widening between the groups. CONCLUSION: Post-operative treatment with a stabilizing knee brace after ACL replacement showed no advantage over treatment without a brace at 4-year follow-up. The use of a knee-stabilizing brace after isolated ACL reconstruction with autologous patellar tendon graft is not recommended. LEVEL OF EVIDENCE: II.",2014,pubmed,bptb
50,51,50,23629979,2013 Apr,,J Orthop Surg (Hong Kong),"['Seijas R', 'Ares O', 'Catala J', 'Alvarez-Diaz P', 'Cusco X', 'Cugat R']",Cugat R,Magnetic resonance imaging evaluation of patellar tendon graft remodelling after anterior cruciate ligament reconstruction with or without platelet-rich plasma.,21,1,10-4,['English'],9440382,1022-5536,2309-4990,"['Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish,"['23629979', '10.1177/230949901302100105']",10.1177/230949901302100105,"['2013/05/01 06:00', '2013/05/01 06:00', '2013/12/16 06:00']",[],1,0,Journal of orthopaedic surgery (Hong Kong),,2013 Apr;21(1):10-4,"PURPOSE: To evaluate the stages of patellar tendon graft remodelling using magnetic resonance imaging (MRI) after anterior cruciate ligament (ACL) reconstruction with or without platelet-rich plasma (PRP) injection. METHODS: 98 patients aged 18 to 65 years with complete rupture of the ACL were randomised to undergo reconstruction with the autologous patellar tendon grafts with or without PRP injection. For the PRP group, 8 ml of PRP was obtained in the surgery room and was percutaneously injected into the suprapatellar joint after portal suture. MRI was obtained at months 4, 6, and 12. Remodelling stages of the grafts were classified as hypointense, mildly hyperintense, moderately hyperintense, severely hyperintense, and diffusely hyperintense by a radiologist blinded to treatment allocation. RESULTS: More patients in the PRP group than controls attained higher stages of remodelling at month 4 (p=0.003), month 6 (p=0.0001), and month 12 (p=0.354). CONCLUSION: PRP enabled faster remodelling of patellar tendon grafts.",2013,pubmed,bptb
